Message_ID_Hex,Message_Name,Signal_Name,Start_Bit,Length_Bits,Endianness,Type,Factor,Offset,Unit,Notes_and_Source
0x30A,Precond_Data,Flag_Byte31,248,8,,,,,,,Flag clears 0x24 -> 0x00
0x2FA,Precond_Data,Heater_Power,64,8,,,,,,,Heater power ramping 0x3A -> 0x4C
0x411,Door_Status,Driver_Door_Counter,8,4,,,,,,,4-bit upper nibble. 9->A->...->E->0. Wraps at 16.
0x411,Door_Status,Lock_Status,22,2,,,,,,,Byte 2 bit 6. 0x50 Unlocked, 0x10 Locked
0x411,Door_Status,Driver_Door_Open,24,1,,,,,,,Byte 3 bit 0
0x411,Door_Status,Passenger_Rear_Door,56,1,,,,,,,Byte 7 bit 0
0x392,Lock_Status_Aux1,Lock_Flag,32,8,,,,,,,Byte 4. 0x40 locked, 0x00 unlocked
0x413,Lock_Status_Aux2,Lock_Flag,16,8,,,,,,,Byte 2. 0x50 locked, 0x00 unlocked
0x401,Lock_Status_Aux3,Rolling_Code,24,8,,,,,,,Byte 3. 0x51 <-> 0xA4
0x4E4,FOB_COMMAND,Command,16,8,,,,,,,Byte 2. 0x00 = idle, 0x01 = LOCK, 0x02 = UNLOCK
0x4E4,FOB_COMMAND,Button_Held,40,8,,,,,,,Byte 5. 0x01 = held, 0x00 = released
